,Open,High,Low,Close,Adj Close,Volume,News - All News Volume,News - Volume,News - Positive Sentiment,News - Negative Sentiment,News - New Products,News - Layoffs,News - Analyst Comments,News - Stocks,News - Dividends,News - Corporate Earnings,News - Mergers & Acquisitions,News - Store Openings,News - Product Recalls,News - Adverse Events,News - Personnel Changes,News - Stock Rumors
count,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0
mean,186.1577552538395,188.4312916586399,183.63549743528367,185.96628688411712,184.27127997403144,4818635.9865,522919.7664394547,87.15056134723336,4.544907778668805,4.041900561347234,1.4556936647955092,0.06465517241379311,10.501102646351242,11.368384121892541,0.5001002405773858,3.7757618283881316,2.0860064153969526,0.07518043303929431,0.08660785886126704,4.407177225340818,0.7537089013632718,0.007417802726543705
std,320.8548021685778,324.44300741842903,316.567323611858,320.18627710562237,320.1431689952666,10668605.998955738,49905.97259073456,273.4233391495042,25.754386211952355,16.789955481454044,12.278629953860634,1.5348025242193817,32.73326542602672,34.52189336695343,2.562893100108235,17.439808060410826,10.22273355580303,0.8320409833758765,1.7759510371093883,21.291682506814585,4.3074320894330596,0.1455956850961598
min,4.099999904632568,4.150000095367432,4.03000020980835,4.130000114440918,4.0233540534973145,7900.0,317745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,60.48250102996826,61.18749904632568,59.628024101257324,60.43999862670898,58.843833923339844,896600.0,494434.0,11.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,112.76000213623048,114.47000122070312,111.32550048828125,113.00500106811523,110.90499877929688,1862150.0,531875.0,24.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,210.4900016784668,212.9249954223633,207.74500274658206,209.96249771118164,207.74250411987308,4355075.0,558752.0,59.0,1.0,1.0,0.0,0.0,10.0,11.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0
max,5820.5,5893.5,5820.5,5869.47021484375,5869.47021484375,164126800.0,669851.0,7792.0,1017.0,350.0,702.0,132.0,742.0,762.0,112.0,572.0,698.0,46.0,130.0,1370.0,110.0,10.0
