,Open,High,Low,Volume,News - Volume,News - Positive Sentiment,News - Negative Sentiment,News - New Products,News - Store Openings,News - Adverse Events,Day_sin,Day_cos,Month_sin,Month_cos,Year,Sector_Communication Services,Sector_Consumer Discretionary,Sector_Consumer Staples,Sector_Energy,Sector_Financials,Sector_Health Care,Sector_Industrials,Sector_Information Technology,Sector_Materials,Sector_Real Estate,Sector_Utilities,Symbol_Index,Emb_0,Emb_1,Emb_2,Emb_3,Emb_4,Emb_5,Emb_6,Emb_7,Emb_8,Emb_9,Emb_10,Emb_11,Emb_12,Emb_13,Emb_14,Emb_15,Close
count,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0
mean,186.04495186150606,188.3460665292928,183.55879675509374,4737927.12696663,82.32337909610182,4.187393526405452,3.702074356147911,1.2798877643050406,0.07646056719110131,3.9396733139593145,0.013856611464010295,-0.018007250583447685,0.09527751279071454,0.05827583096169529,2021.1257641046197,0.04759995991582323,0.1194508467782343,0.0641346828339513,0.0411864916324281,0.12466178975849283,0.13007315362260746,0.153722817917627,0.14660787654073554,0.05421384908307446,0.05912416073754885,0.0592243711794769,242.06914520493035,-1.9937064436599664e-16,-1.4395628580248346e-15,-7.376713841541875e-16,9.19241078130363e-16,-1.3201184809091349e-15,1.7231319977346853e-16,-5.190757133671841e-16,-5.76305768870459e-16,2.819670541747667e-16,-2.9104553887357544e-16,-7.0011137883166505e-16,1.0190154050653106e-15,1.6973206196694447e-16,-9.968532218299832e-18,-4.514321018858638e-16,8.351315875384583e-16,185.87243114381218
std,327.7342182838403,331.53763650116485,322.9487976625883,10507192.744385716,232.88881722439936,22.915864777469356,14.451310512623197,8.031328175239638,0.9674322167107962,15.148505477886927,0.711196818849424,0.7026969381235288,0.6840839091033158,0.7208705145413684,0.642982225557963,0.2129289720721992,0.3243345239217235,0.24500498090466838,0.1987312815408927,0.3303515765288501,0.3364007560795688,0.36070091636115414,0.3537323084811875,0.22645053858788788,0.23586875475424277,0.23605598701814054,141.14802837443972,0.7109012270468194,0.615749728231746,0.5648072696797063,0.5401301458750977,0.4940140854257958,0.47558314414104114,0.4437646297633081,0.41784907838154056,0.4004833079159183,0.3814153208425332,0.3617228084967266,0.3409643138175508,0.334919075682009,0.3192652092344554,0.30568609463440793,0.29629502745625946,326.781559442239
min,4.110000133514404,4.329999923706055,4.090000152587891,12100.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9987165071710528,-0.9948693233918952,-1.0,-1.0,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.080832268596047,-2.7849451504071006,-1.6264939205437392,-1.2253425925863073,-1.0870759323596628,-1.2009227298419924,-1.3494677512751716,-1.4901907896336337,-2.7217613751310212,-1.7894709842206662,-1.9324086831667406,-2.1601095171969398,-1.0565622613312216,-0.8400216278899773,-1.0446642234470067,-1.302753706055541,4.230000019073486
25%,60.77999877929688,61.44499969482422,60.10499954223633,899500.0,11.0,0.0,0.0,0.0,0.0,0.0,-0.72479278722912,-0.7587581226927909,-0.5000000000000004,-0.5000000000000004,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,-0.3842951471173045,-0.23953411752854803,-0.19366141806014517,-0.36947157135953074,-0.27184198221110273,-0.20157520971162038,-0.2615151038963439,-0.2222071084972138,-0.14791963468023583,-0.19210962292184602,-0.12355309284234314,-0.13429108435915954,-0.20163449473014106,-0.1648494944047304,-0.24636724966250828,-0.1977974593703666,60.81500053405762
50%,113.8499984741211,115.2699966430664,112.3744659423828,1867600.0,24.0,0.0,0.0,0.0,0.0,0.0,0.10116832198743272,-0.05064916883871264,1.2246467991473532e-16,6.123233995736766e-17,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,-0.15149912069049615,0.05232326777275248,0.003320727642146755,-0.03411442120944139,0.0720991548172149,-0.03570265496754976,-0.017730660632870793,0.036516317129562825,-0.007949276509156819,0.1217588177326524,-0.04901082877933871,0.05807511411177538,-0.030895813473130862,-0.057969065695460315,-0.0061879228354153465,0.003037338683060331,113.8000030517578
75%,207.6449966430664,209.75499725341797,205.33999633789065,4296300.0,57.0,1.0,1.0,0.0,0.0,2.0,0.7247927872291199,0.6889669190756866,0.8660254037844386,0.8660254037844384,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,0.15915199408444974,0.21022388027662958,0.27505238114311226,0.2483975298722759,0.31694619312279404,0.1982470781564283,0.23659197463973802,0.2064968109514992,0.19080047448096926,0.2254942804447664,0.19852306226912395,0.20744709184055204,0.221009852903093,0.049850940426077975,0.15925091099683836,0.22277215969703507,207.85499572753906
max,5127.56982421875,5173.759765625,5055.0,319607600.0,6274.0,936.0,244.0,350.0,49.0,462.0,0.9987165071710528,1.0,1.0,1.0,2022.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,494.0,2.877774622199892,1.423099763416841,1.0972651935963165,1.4760007000669084,1.468573025201489,1.0424277917838911,1.272997401106716,1.085896412753816,0.8848158243767037,0.566585510364713,1.2079668573472542,0.8536121446712246,1.1072688930149235,1.5998947812823372,0.9713305887794567,0.9846074127601725,5104.9501953125
