,Open,High,Low,Close,Adj Close,Volume,News - All News Volume,News - Volume,News - Positive Sentiment,News - Negative Sentiment,News - New Products,News - Layoffs,News - Analyst Comments,News - Stocks,News - Dividends,News - Corporate Earnings,News - Mergers & Acquisitions,News - Store Openings,News - Product Recalls,News - Adverse Events,News - Personnel Changes,News - Stock Rumors
count,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0,9979.0
mean,185.9694094637871,188.26955378665923,183.48510928025246,185.79776903734208,184.07198944506646,4731380.12,522544.9013929251,82.32337909610182,4.187393526405452,3.702074356147911,1.2798877643050406,0.08026856398436717,10.22236697063834,11.068644152720713,0.4854193806994689,3.708888666199018,2.179877743260848,0.07646056719110131,0.0907906603868123,3.9396733139593145,0.7986772221665498,0.005210942980258543
std,327.47344180015864,331.2726273367667,322.69109286209795,326.5205547774869,326.4877962641616,10497346.650397277,49765.526124000484,232.88881722439936,22.915864777469356,14.451310512623198,8.031328175239638,1.3271569040661602,29.92023130425424,31.42214139758078,2.8778957376036947,15.718488734969906,16.341073387016298,0.9674322167107962,2.451324979129905,15.148505477886927,4.704353550388489,0.10486704300810162
min,4.110000133514404,4.329999923706055,4.090000152587891,4.230000019073486,4.120771408081055,12100.0,317745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,60.77749919891358,61.43999862670898,60.08999919891357,60.810001373291016,59.17249011993408,899100.0,494005.0,11.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,113.84000015258789,115.23999786376953,112.35723114013672,113.79000091552734,111.69464111328124,1865950.0,531014.0,24.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,207.60500335693357,209.62499618530273,205.33250045776367,207.83999633789065,204.8793716430664,4292600.0,558752.0,57.0,1.0,1.0,0.0,0.0,10.0,11.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0
max,5127.56982421875,5173.759765625,5055.0,5104.9501953125,5104.9501953125,319607600.0,669851.0,6274.0,936.0,244.0,350.0,84.0,762.0,792.0,173.0,542.0,1388.0,49.0,195.0,462.0,130.0,7.0
