,Open,High,Low,Volume,News - Volume,News - Positive Sentiment,News - Negative Sentiment,News - New Products,News - Store Openings,News - Adverse Events,Day_sin,Day_cos,Month_sin,Month_cos,Year,Sector_Communication Services,Sector_Consumer Discretionary,Sector_Consumer Staples,Sector_Energy,Sector_Financials,Sector_Health Care,Sector_Industrials,Sector_Information Technology,Sector_Materials,Sector_Real Estate,Sector_Utilities,Symbol_Index,Emb_0,Emb_1,Emb_2,Emb_3,Emb_4,Emb_5,Emb_6,Emb_7,Emb_8,Emb_9,Emb_10,Emb_11,Emb_12,Emb_13,Emb_14,Emb_15,Close
count,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0
mean,188.31694411055014,190.6815229482271,185.88649755035453,4787145.000902617,82.97813659612878,4.434760806338382,3.6442683782970615,1.3275498946946145,0.08294052752983652,4.028683181225554,0.0008378743052780251,-0.02261784029285364,0.10851147078258708,0.05649144387900507,2021.140306889981,0.04803931401063083,0.12155250225654397,0.06599137498746364,0.038912847257045434,0.1284725704543175,0.1290743155149935,0.15494935312405977,0.14772841239594825,0.05415705546083643,0.058469561729014144,0.05265269280914652,239.82499247818674,1.2969489309832336e-16,-8.952154365646634e-16,-1.12734791693158e-15,1.1686792564903865e-15,1.2425233954866159e-15,2.5475782572884946e-17,-7.044142957565531e-16,5.744521741697029e-16,2.8700339667774583e-16,-8.554874679370176e-16,-1.080493855276554e-15,-7.256144225130098e-16,2.479880373528381e-16,-2.99295907149977e-17,2.236702448969025e-16,8.015963894174533e-16,188.2618375010553
std,326.9410625393233,330.954705979537,322.48008230562226,10616913.615017505,248.62717498253724,24.517912130443747,14.286561500666245,8.751100931135094,0.9865905437802006,14.767016421165307,0.7174061754944072,0.6963593613582825,0.6840234437996606,0.719197264738025,0.6392942652365644,0.21386005993311277,0.32678464059759355,0.24827947078375784,0.19339697177697524,0.33463203600876595,0.33529898870814756,0.3618745424809823,0.35484835764711015,0.2263386989115865,0.2346409890287621,0.22335037451705902,141.28190006879362,0.7257495821585611,0.6103277035755895,0.558634560450494,0.5307009489665612,0.49568131756185196,0.46931875167590764,0.44323231766622384,0.41964017897970723,0.40268971092169353,0.38624720652498995,0.36466368893950735,0.34000765594789084,0.3323011852624958,0.3251658349428764,0.3044994027784779,0.2977459286817314,326.6294578016168
min,8.640000343322754,8.779999732971191,8.520000457763672,6900.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9987165071710528,-0.9948693233918952,-1.0,-1.0,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1551027459310454,-2.443566161054552,-2.0049421034442436,-1.1150676824543737,-1.348476240835172,-1.4744089065459955,-1.0410356605560662,-1.3235194692754784,-2.850506777602208,-1.505315104356486,-1.818687566085919,-0.5978066236137285,-1.0740041361525234,-0.9070684670947716,-0.8765792526401645,-1.3703968078852224,8.670000076293945
25%,60.41999816894531,61.255001068115234,59.65999984741211,886500.0,11.0,0.0,0.0,0.0,0.0,0.0,-0.72479278722912,-0.7587581226927909,-0.5000000000000004,-0.5000000000000004,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,-0.4214262049591235,-0.2745618024776538,-0.1369961914498476,-0.38379108229216047,-0.32353099969744825,-0.20899540172071296,-0.3087605515036942,-0.17246989201226298,-0.16874077050096634,-0.1876741077963774,-0.15475334613442904,-0.2035535003658969,-0.22783732757530709,-0.17221118410184838,-0.15751421827953072,-0.18210668008448405,60.56500053405762
50%,114.37000274658205,115.9000015258789,112.86000061035156,1863100.0,23.0,0.0,0.0,0.0,0.0,0.0,-2.4492935982947064e-16,-0.05064916883871355,1.2246467991473532e-16,6.123233995736766e-17,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,-0.1362121527261938,-0.02652710786075102,0.026716900000896722,-0.04839723826105646,-0.04373777197792955,-0.016456481755800806,-0.052254466994178655,-0.040632406899571094,-0.018021741369441326,0.10933803021734495,-0.022912672730047143,-0.044457222372610294,-0.03411443213932014,-0.05793730466175291,0.03400255483634525,-0.022971933086878893,114.33999633789062
75%,206.55500030517578,209.13999938964844,203.875,4320250.0,56.0,1.0,1.0,0.0,0.0,2.0,0.7247927872291199,0.6889669190756865,0.8660254037844386,0.8660254037844384,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.19498695665198584,0.2822834735444311,0.29735731559963496,0.2871659797154559,0.2798050690699601,0.2585402473523495,0.25671815979553286,0.24191909537451733,0.19170239048715057,0.2745343296008175,0.16119660320107765,0.1417297297981827,0.2035790075926464,0.06823295362344298,0.22253727993783554,0.21261476384799627,207.1050033569336
max,5589.0,5620.52978515625,5465.5,253456000.0,6484.0,738.0,277.0,419.0,67.0,357.0,0.9987165071710528,1.0,1.0,1.0,2022.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,494.0,3.0316199938738553,1.7398015790391481,1.098235836437737,1.7746132803238968,1.0135670474799423,0.9977015597983474,1.3321723034843702,1.8734334201137133,0.8277473779023392,0.5358537355133361,1.4075937873852147,2.1005680389144312,0.9372005058261149,1.4370532159854266,1.046973468640063,0.921017266528878,5480.85986328125
