Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,News - All News Volume,News - Volume,News - Positive Sentiment,News - Negative Sentiment,News - New Products,News - Layoffs,News - Analyst Comments,News - Stocks,News - Dividends,News - Corporate Earnings,News - Mergers & Acquisitions,News - Store Openings,News - Product Recalls,News - Adverse Events,News - Personnel Changes,News - Stock Rumors
2022-05-05,161.77999877929688,162.02999877929688,157.39999389648438,158.63999938964844,157.9895477294922,1938400.0,WM,Waste Management,Industrials,Environmental & Facilities Services,555361.0,18.0,0.0,14.0,0.0,0.0,13.0,13.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2020-12-29,57.41999816894531,57.900001525878906,56.900001525878906,57.08000183105469,54.33062744140625,1946300.0,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,378425.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,14.420000076293944,14.59000015258789,13.899999618530272,14.0,12.66439723968506,6989500.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,526891.0,9.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
2021-11-02,202.13999938964844,204.0800018310547,201.38999938964844,203.44000244140625,201.3582305908203,495000.0,MAA,Mid-America Apartment Communities,Real Estate,Residential REITs,538775.0,6.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
