,Open,High,Low,Close,Adj Close,Volume,News - All News Volume,News - Volume,News - Positive Sentiment,News - Negative Sentiment,News - New Products,News - Layoffs,News - Analyst Comments,News - Stocks,News - Dividends,News - Corporate Earnings,News - Mergers & Acquisitions,News - Store Openings,News - Product Recalls,News - Adverse Events,News - Personnel Changes,News - Stock Rumors
count,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0,9971.0
mean,188.05477197246552,190.41704653024672,185.62862970762254,188.0002661725998,186.30567387919427,4782633.8204,522248.0500451309,82.97813659612878,4.434760806338382,3.6442683782970615,1.3275498946946145,0.11713970514492027,10.12666733527229,10.922074014642464,0.4775849964898205,3.9107411493330657,1.99949854578277,0.08294052752983652,0.10961789188647077,4.028683181225554,0.7075519005114833,0.004312506268177715
std,326.53208749326484,330.54091421315684,322.0768191595658,326.22118522189004,326.1962013747017,10602748.45899469,49665.78870762301,248.62717498253724,24.51791213044375,14.286561500666245,8.751100931135092,3.4538827427173024,30.430885928126823,31.76152749850126,2.3140524065570394,20.90470943572445,8.543575234210836,0.9865905437802006,2.9765581566292627,14.767016421165307,3.894280214539937,0.08777567962052685
min,8.640000343322754,8.779999732971191,8.520000457763672,8.670000076293945,7.510755062103271,6900.0,317745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,60.32500171661377,61.207499504089355,59.560001373291016,60.51999950408936,58.82135009765626,886805.75,493323.0,11.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,114.22999954223633,115.68000030517578,112.71500015258789,114.16500091552734,112.34885025024414,1864700.0,530689.0,23.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,206.38249588012695,208.99250411987308,203.75500106811523,206.79249572753906,204.52630615234378,4318375.0,558752.0,56.0,1.0,1.0,0.0,0.0,10.0,10.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0
max,5589.0,5620.52978515625,5465.5,5480.85986328125,5480.85986328125,253456000.0,669851.0,6484.0,738.0,277.0,419.0,276.0,702.0,728.0,78.0,715.0,532.0,67.0,203.0,357.0,128.0,4.0
