,Open,High,Low,Volume,News - Volume,News - Positive Sentiment,News - Negative Sentiment,News - New Products,News - Store Openings,News - Adverse Events,Day_sin,Day_cos,Month_sin,Month_cos,Year,Sector_Communication Services,Sector_Consumer Discretionary,Sector_Consumer Staples,Sector_Energy,Sector_Financials,Sector_Health Care,Sector_Industrials,Sector_Information Technology,Sector_Materials,Sector_Real Estate,Sector_Utilities,Symbol_Index,Emb_0,Emb_1,Emb_2,Emb_3,Emb_4,Emb_5,Emb_6,Emb_7,Emb_8,Emb_9,Emb_10,Emb_11,Emb_12,Emb_13,Emb_14,Emb_15,Close
count,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0
mean,182.03247275296513,184.28795209721633,179.61964889184463,4990255.849332932,83.00531648109138,4.668071020162504,3.6444979436252383,1.3801785535158992,0.07693850937907513,4.02146654629351,0.00949726843405528,-0.014694002439154178,0.11764784062482583,0.05051749336187714,2021.1384291303038,0.051860768381984154,0.11375263316280469,0.06179155381683218,0.044437757046845223,0.123482796669676,0.13501855752833786,0.14725649513491826,0.14805898284682517,0.05466947537365834,0.061992175744808906,0.05767880429330926,240.02738489316883,-9.087591414325687e-17,-1.0227995042790086e-15,1.1507385363473586e-15,1.0810670021708616e-15,7.760090315566346e-16,-2.87951916187261e-16,-7.530227709203991e-16,-4.46762030854276e-16,8.492443270720829e-16,7.267400310456336e-16,-5.342078247087923e-16,-6.461099307518616e-16,-5.709145664999902e-16,2.646092794171303e-16,1.5145985690542812e-16,8.171704750215215e-16,181.95243021018624
std,304.31700875831535,307.820183913127,299.50208926667636,11164306.732157657,235.3998750969268,32.0304558980463,14.65320109185647,7.305044564662897,1.222202482749446,15.618917455439888,0.7183201210842358,0.695564793637497,0.6812576981621151,0.720828407887153,0.6407891496959306,0.22175698860019968,0.31752651113286434,0.24078864931830327,0.20607596349784651,0.32900707260208545,0.34176053458274,0.35437919985450683,0.3551762586249526,0.22734535073173034,0.24115343554112045,0.23314676166108006,142.24269578013974,0.7058448111787402,0.6100461975932803,0.5541652195567491,0.527984540686193,0.49269452252601736,0.4622872106640913,0.43257357162217286,0.41334612295895823,0.3917714265389421,0.3757579834249655,0.3604394645901772,0.3356329484249826,0.3269139710633224,0.3170014265782339,0.301972254413826,0.2968309741351539,303.3873419654307
min,6.53000020980835,6.590000152587891,6.309999942779541,11800.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9987165071710528,-0.9948693233918952,-1.0,-1.0,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1800711140512397,-2.4574266019829554,-0.9473322232674319,-1.2361614990251562,-1.0755342270864732,-1.4816121924903498,-1.2632290384408462,-0.8643225138583254,-0.7871844249574894,-0.8365182405767353,-0.865229310641157,-0.6888546645647153,-1.1686472929576468,-1.448758623108871,-1.1536172153121058,-1.3356169131674211,6.309999942779541
25%,59.54999923706055,60.36000061035156,58.709999084472656,890400.0,12.0,0.0,0.0,0.0,0.0,0.0,-0.72479278722912,-0.7587581226927909,-0.5000000000000004,-0.5000000000000004,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,-0.410524734968539,-0.2758215816995488,-0.29212910401276593,-0.35872543522363987,-0.3403709796619487,-0.20503047509188754,-0.2325591677232046,-0.24884954242129897,-0.26834035510406506,-0.14138776128626507,-0.19356631357310722,-0.19992156404476186,-0.11995776805342814,-0.146879018767176,-0.1909979257886878,-0.24039809570903792,59.560001373291016
50%,113.69000244140624,115.11000061035156,112.0999984741211,1883900.0,24.0,0.0,0.0,0.0,0.0,0.0,0.10116832198743272,-0.05064916883871264,1.2246467991473532e-16,6.123233995736766e-17,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,-0.14012602689586373,0.009760455432907267,-0.04854663834664304,-0.039901808378357495,-0.07549256182378788,-0.08333359170563706,-0.05563262996440178,0.04985297791436005,-0.06245672169992306,-0.015955436018448094,0.0008998946203526703,-0.002870699322135392,0.015936655140940198,0.06129242521472395,0.011789975517057683,-0.00699122945677505,113.41999816894533
75%,208.3300018310547,210.1999969482422,205.75,4392100.0,57.0,1.0,2.0,0.0,0.0,2.0,0.7247927872291199,0.6889669190756865,0.8660254037844386,0.8660254037844384,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.0,0.20877050413664278,0.2594926909375606,0.1396836803368062,0.3052957789918316,0.3316827368894844,0.23798939384827303,0.24262842410165783,0.19232166127066436,0.19041363512044485,0.08671094279980654,0.14989282306939006,0.17599262216959596,0.10416163117050056,0.1894092689146918,0.22926103398595693,0.2142455099982012,207.5800018310547
max,5248.0,5323.77978515625,5187.3798828125,272662000.0,6349.0,1758.0,462.0,341.0,92.0,531.0,0.9987165071710528,1.0,1.0,1.0,2022.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,494.0,2.946578319168526,1.7011768261892946,1.9553410182969722,1.5940293612150054,0.943638518328773,0.9915156014418582,1.2552336015561976,1.2762829664017046,1.51162194892741,2.715586771750415,1.590498231116434,1.3781693068413532,1.9701291367909004,0.7076261849262403,0.872618203207846,0.9848080289559302,5305.75
