,Open,High,Low,Volume,News - Volume,News - Positive Sentiment,News - Negative Sentiment,News - New Products,News - Store Openings,News - Adverse Events,Day_sin,Day_cos,Month_sin,Month_cos,Year,Sector_Communication Services,Sector_Consumer Discretionary,Sector_Consumer Staples,Sector_Energy,Sector_Financials,Sector_Health Care,Sector_Industrials,Sector_Information Technology,Sector_Materials,Sector_Real Estate,Sector_Utilities,Symbol_Index,Emb_0,Emb_1,Emb_2,Emb_3,Emb_4,Emb_5,Emb_6,Emb_7,Emb_8,Emb_9,Emb_10,Emb_11,Emb_12,Emb_13,Emb_14,Emb_15,Close
count,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0,9976.0
mean,186.3019348957965,188.5769934369835,183.77688395556393,4805643.711407377,87.15056134723336,4.544907778668805,4.041900561347234,1.4556936647955092,0.07518043303929431,4.407177225340818,0.0030822803480056076,-0.031007322958361984,0.10452129011105002,0.06607157337510416,2021.1331194867682,0.04961908580593424,0.12209302325581395,0.06044506816359262,0.03879310344827586,0.13041299117882918,0.131214915797915,0.15246591820368885,0.14685244587008822,0.05593424218123497,0.05854049719326383,0.05362870890136327,240.38011226944667,2.1919559636143828e-16,-9.230787746041398e-16,8.497168040916194e-16,6.948019634462487e-16,1.3797214284375342e-15,4.971519943469827e-16,-4.789895647540771e-16,-1.9658159088791865e-16,1.5767481769135143e-16,8.119674406240119e-16,-7.642465471838287e-16,-4.864682122335088e-16,2.6228685088578277e-16,1.8385008386936233e-16,5.056990200377618e-16,7.985236814645573e-16,186.1099477582869
std,321.1816331489367,324.77384062697536,316.8900636366789,10590051.382979479,273.4233391495042,25.754386211952355,16.789955481454044,12.278629953860634,0.8320409833758765,21.291682506814585,0.7161549540230286,0.6973172022737231,0.6839011779832276,0.719088133428422,0.6401141284182679,0.21716758425634244,0.32740962481805663,0.23832153758720628,0.19311120303700072,0.336774125902403,0.3376521730968802,0.3594899391946516,0.35397650358853483,0.2298062151631372,0.23477442907028143,0.22529482566173586,141.6211079145506,0.7201708089520611,0.6096887082674762,0.5557901754050284,0.5239820709224594,0.49110482689651397,0.46661066668951257,0.4408773332701445,0.419145303732352,0.3984932830914541,0.38490350983590094,0.3697391708393077,0.33803249803171065,0.32745960384295747,0.31789429297014415,0.3063397857700253,0.2984309389727369,320.512706453235
min,4.099999904632568,4.150000095367432,4.03000020980835,7900.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9987165071710528,-0.9948693233918952,-1.0,-1.0,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1548387914230838,-2.5514214477831687,-1.0706512178517427,-0.9201885920237287,-1.15287117677632,-0.9956172536987626,-1.120336478609114,-2.4388531434645064,-1.1114161108397003,-0.6856845218324592,-1.4468175156569298,-0.6029099193129048,-1.5712816846281286,-1.082912800886091,-0.7861119526501548,-1.2483902920063483,4.130000114440918
25%,60.58750057220459,61.29899978637695,59.65750026702881,894825.0,11.0,0.0,0.0,0.0,0.0,0.0,-0.72479278722912,-0.7587581226927909,-0.5000000000000004,-0.5000000000000004,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,-0.4214454045004134,-0.24730502962137496,-0.27371130852050374,-0.34799417588075376,-0.33963601749059946,-0.2588972379565254,-0.29655531003036745,-0.18426183707317229,-0.11159766689408734,-0.28981755766724576,-0.18519271371197768,-0.23237844649959888,-0.1275062099783103,-0.16302342774833933,-0.1891144554062467,-0.16149249408278626,60.54999923706055
50%,112.84500122070312,114.58499908447266,111.43500137329102,1860905.0,24.0,0.0,0.0,0.0,0.0,0.0,-2.4492935982947064e-16,-0.05064916883871355,1.2246467991473532e-16,6.123233995736766e-17,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,-0.13983784498230362,-0.004043122424719436,-0.0133434250093388,-0.07642321076605836,-0.04443443099875399,0.050331577397044275,-0.05293195342646076,-0.01776972180100056,0.0035128949003870244,-0.048442776473602234,-0.006834074045893368,-0.05692655115942763,-0.007801969170512901,-0.06541399643610521,0.03071355117518685,0.012712999820701232,113.04000091552734
75%,210.4900016784668,212.9249954223633,207.74500274658206,4351200.0,59.0,1.0,1.0,0.0,0.0,2.0,0.7247927872291199,0.6889669190756865,0.8660254037844386,0.8660254037844384,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.0,0.19321536289079178,0.2629131997418541,0.10521055022833574,0.3184111632117765,0.34044382292220693,0.212266074410254,0.2835331641803794,0.18371323014708613,0.1657305304808487,0.21042387913165334,0.12351483163969468,0.14839554432601643,0.18220008089739304,0.13369653184423358,0.2425814558443397,0.18439441874953072,209.96249771118164
max,5820.5,5893.5,5820.5,164126800.0,7792.0,1017.0,350.0,702.0,46.0,1370.0,0.9987165071710528,1.0,1.0,1.0,2022.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,494.0,2.9781486740310967,1.6205489679651612,2.0178509774701983,1.491227742891898,1.0217040168409564,1.4580989380600482,1.377135536889544,1.284014770437481,2.532901879441518,1.2389827068430717,1.5003227385207625,1.5258826365125038,0.8202736485581562,1.2901022841606635,0.8226835057849142,0.7747957822068499,5869.47021484375
