,Open,High,Low,Close,Adj Close,Volume,News - All News Volume,News - Volume,News - Positive Sentiment,News - Negative Sentiment,News - New Products,News - Layoffs,News - Analyst Comments,News - Stocks,News - Dividends,News - Corporate Earnings,News - Mergers & Acquisitions,News - Store Openings,News - Product Recalls,News - Adverse Events,News - Personnel Changes,News - Stock Rumors
count,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0,9969.0
mean,182.01642709326745,184.277115285635,179.60801331353187,181.9412633479595,180.27280525398254,4984128.7812,521216.9297823252,83.00531648109138,4.668071020162504,3.6444979436252383,1.3801785535158992,0.1310061189688033,9.914033503861972,10.744006419901694,0.4694553114655432,3.1898886548299727,2.125890259805397,0.07693850937907513,0.186879325910322,4.02146654629351,0.7553415588323804,0.0036111947035811012
std,304.3003405183944,307.81813486112696,299.4981831654189,303.388494540587,303.3277738864139,11148993.934638146,51016.67176981841,235.39987509692676,32.030455898046306,14.653201091856468,7.305044564662898,5.057344773353274,27.763984168078508,29.120516561175318,2.254809136002755,12.207120800253557,13.188856195332715,1.222202482749446,5.118684142345573,15.618917455439888,4.5479904684997114,0.07486611712012028
min,6.53000020980835,6.590000152587891,6.309999942779541,6.309999942779541,6.180898666381836,11800.0,317745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,59.54249954223633,60.340681076049805,58.697500228881836,59.5575008392334,58.017577171325684,890575.0,492843.0,12.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,113.55999755859376,115.02000045776367,112.01499938964844,113.38999938964844,111.57831954956055,1883150.0,530537.0,24.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,208.29249954223633,210.13999938964844,205.64999771118164,207.5300025939941,205.564697265625,4387750.0,558421.0,57.0,1.0,2.0,0.0,0.0,10.0,10.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0
max,5248.0,5323.77978515625,5187.3798828125,5305.75,5305.75,272662000.0,669851.0,6349.0,1758.0,462.0,341.0,479.0,748.0,758.0,63.0,475.0,970.0,92.0,429.0,531.0,156.0,4.0
